classification,Account,Closed PnL
Extreme Fear,0xbaaaf6571ab7d571043ff1e313a9609a10637864,3869.208803
Extreme Fear,0x4f93fead39b70a1824f981a54d4e55b278e9f760,3084.287743
Extreme Fear,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2020.0
Extreme Fear,0x8477e447846c758f5a675856001ea72298fd9cb5,1038.310977
Extreme Fear,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,937.789615
Extreme Greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,997871.478418
Extreme Greed,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,155490.182605
Extreme Greed,0x2c229d22b100a7beb69122eed721cee9b24011dd,23897.024855
Extreme Greed,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.513222
Extreme Greed,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,17645.398797
Fear,0x083384f897ee0f19899168e3b1bec365f52a9012,1010606.61881
Fear,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,197294.93561
Fear,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,171198.284258
Fear,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,148147.055383
Fear,0x4f93fead39b70a1824f981a54d4e55b278e9f760,68938.323756
Greed,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,332705.773842
Greed,0xbaaaf6571ab7d571043ff1e313a9609a10637864,188116.840712
Greed,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,68045.186468
Greed,0x513b8629fe877bb581bf244e326a047b249c4ff1,60544.304874
Greed,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,34709.852428
Neutral,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,26600.990442
Neutral,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,23425.594181
Neutral,0x4f93fead39b70a1824f981a54d4e55b278e9f760,19252.488733000002
Neutral,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2517.787385
Neutral,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,1483.265351
