classification,date,Closed PnL
Fear,2025-03-03,616413.032233
Extreme Greed,2024-12-12,599151.795008
Fear,2025-04-02,416876.88812
Fear,2025-03-02,348871.326269
Extreme Greed,2024-11-12,319051.554217
Extreme Greed,2024-04-12,292891.815021
Greed,2025-02-04,202212.740938
Fear,2025-04-03,182075.566585
Greed,2025-02-02,162854.759623
Fear,2024-07-12,85906.279067
Greed,2024-05-12,71574.11848800001
Greed,2025-05-02,56706.235562
Greed,2025-01-05,54536.829297000004
Neutral,2024-10-12,39325.770231
Extreme Greed,2024-03-12,23576.539285
Neutral,2024-05-03,19791.026041
Neutral,2024-10-07,11977.734907
Extreme Greed,2024-11-10,8885.327477
Extreme Fear,2025-03-01,6028.486793
Neutral,2025-05-01,3187.719363
Neutral,2024-10-05,2101.741695
Extreme Fear,2024-09-07,648.984412
Extreme Fear,2024-08-06,129.13883900000002
Extreme Fear,2024-09-06,0.0
Extreme Fear,2024-08-08,-40.712216999999995
